2014-08-14 20:31:00,40.6468,-73.7896,B02682
2014-08-01 11:07:00,40.6861,-74.0021,B02598
2014-08-08 22:52:00,40.732,-74.0066,B02617
2014-08-01 19:58:00,40.7297,-73.9916,B02598
2014-08-10 04:35:00,40.6677,-73.7866,B02617
2014-08-15 16:43:00,40.7401,-73.995,B02598
2014-08-07 14:49:00,40.705,-74.0159,B02617
2014-08-12 21:00:00,40.7423,-74.0039,B02617
2014-08-13 19:15:00,40.7545,-73.992,B02617
2014-08-12 15:48:00,40.7153,-74.016,B02617
2014-08-14 21:33:00,40.7479,-74.0047,B02598
2014-08-16 00:08:00,40.7193,-73.9913,B02617
2014-08-14 22:24:00,40.6677,-73.9903,B02598
2014-08-21 06:48:00,40.7566,-73.9704,B02598
2014-08-22 14:02:00,40.7645,-73.9833,B02617
2014-08-11 19:05:00,40.7611,-73.9735,B02682
2014-08-08 09:17:00,40.7293,-73.9799,B02598
2014-08-01 06:58:00,40.7364,-73.9832,B02682
2014-08-15 20:34:00,40.7078,-74.0033,B02764
2014-08-31 10:04:00,40.7501,-73.9835,B02598
2014-08-06 09:24:00,40.7261,-74.0091,B02598
2014-08-28 14:34:00,40.7502,-73.9737,B02617
2014-08-26 17:07:00,40.7409,-73.9861,B02598
2014-08-14 14:14:00,40.7257,-74.0053,B02682
2014-08-31 02:24:00,40.7227,-73.9888,B02617
2014-08-13 07:43:00,40.7186,-74.0027,B02764
2014-08-13 22:44:00,40.7823,-73.9716,B02617
2014-08-07 05:34:00,40.6862,-74.0011,B02598
2014-08-03 15:57:00,40.7449,-73.977,B02512
2014-08-13 18:19:00,40.7568,-73.9722,B02682
2014-08-21 22:24:00,40.7509,-73.8471,B02764
2014-08-09 11:56:00,40.8861,-73.7916,B02617
2014-08-26 20:56:00,40.7484,-73.975,B02598
2014-08-20 16:30:00,40.7675,-73.9841,B02682
2014-08-06 20:52:00,40.7724,-73.9671,B02682
2014-08-26 23:00:00,40.7163,-73.9408,B02617
2014-08-07 21:53:00,40.7462,-73.9864,B02512
2014-08-23 11:14:00,40.8044,-73.951,B02512
2014-08-08 08:03:00,40.8206,-73.9582,B02598
2014-08-10 08:59:00,40.6754,-73.9999,B02617
2014-08-06 20:37:00,40.7213,-73.9925,B02682
2014-08-16 03:06:00,40.7546,-73.9928,B02682
2014-08-16 14:56:00,40.7459,-73.9939,B02617
